client_id	path	sentence	up_votes	down_votes	age	gender	accent
0116_008	clips/0116_008.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_025	clips/0116_025.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_036	clips/0116_036.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_061	clips/0116_061.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_069	clips/0116_069.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_086	clips/0116_086.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_087	clips/0116_087.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_088	clips/0116_088.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_089	clips/0116_089.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0116_098	clips/0116_098.wav	और अपने पेट को माँ की स्वादिष्ट गरमगरम जलेबियाँ हड़पते	0	0			
0128_003	clips/0128_003.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0128_025	clips/0128_025.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0128_061	clips/0128_061.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0128_066	clips/0128_066.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0128_069	clips/0128_069.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0128_086	clips/0128_086.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0128_087	clips/0128_087.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0128_088	clips/0128_088.wav	मुनिया ने उन्हें मछली पकड़ने की बंसीे ले कर जाते हुए देखा	0	0			
0136_003	clips/0136_003.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_008	clips/0136_008.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_025	clips/0136_025.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_036	clips/0136_036.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_061	clips/0136_061.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_069	clips/0136_069.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_086	clips/0136_086.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_087	clips/0136_087.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_088	clips/0136_088.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0136_098	clips/0136_098.wav	दो मछलियाँ सामने से तैरती हुई निकल गयीं एक पतली और दूसरी गोल	0	0			
0139_003	clips/0139_003.wav	मुनिया ने हँसते हुए कहा यह तो अप्पा के पैरों से भी बड़ी है	0	0			
