client_id	path	sentence	up_votes	down_votes	age	gender	accent
0156_066	clips/0156_066.wav	वह फ़र्श पर कोलम बनाती सीढ़ियों पर दीवारों पर	0	0			
0156_069	clips/0156_069.wav	वह फ़र्श पर कोलम बनाती सीढ़ियों पर दीवारों पर	0	0			
0156_086	clips/0156_086.wav	वह फ़र्श पर कोलम बनाती सीढ़ियों पर दीवारों पर	0	0			
0156_087	clips/0156_087.wav	वह फ़र्श पर कोलम बनाती सीढ़ियों पर दीवारों पर	0	0			
0156_088	clips/0156_088.wav	वह फ़र्श पर कोलम बनाती सीढ़ियों पर दीवारों पर	0	0			
0156_098	clips/0156_098.wav	वह फ़र्श पर कोलम बनाती सीढ़ियों पर दीवारों पर	0	0			
0159_003	clips/0159_003.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_008	clips/0159_008.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_025	clips/0159_025.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_028	clips/0159_028.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_036	clips/0159_036.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_061	clips/0159_061.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_066	clips/0159_066.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_086	clips/0159_086.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_087	clips/0159_087.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_088	clips/0159_088.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_089	clips/0159_089.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0159_098	clips/0159_098.wav	सब को सुशीला के कोलम बहुत पसन्द आते	0	0			
0160_003	clips/0160_003.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_008	clips/0160_008.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_025	clips/0160_025.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_036	clips/0160_036.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_061	clips/0160_061.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_069	clips/0160_069.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_086	clips/0160_086.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_088	clips/0160_088.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0160_098	clips/0160_098.wav	एक दिन वायुसेना ने उस से कोलम बनाने में मदद माँगी	0	0			
0161_003	clips/0161_003.wav	सुशीला ने विमानचालकों को बताया कि उड़ान भरते हुए विमान कैसे गोता खाएँ	0	0			
0161_008	clips/0161_008.wav	सुशीला ने विमानचालकों को बताया कि उड़ान भरते हुए विमान कैसे गोता खाएँ	0	0			
